order_id;position_no;quantity;login;factory
1069777;1;0;2025-05-13 15:01:27;Düsseldorf
1069787;1;3;2025-05-13 15:23:45;Düsseldorf
1069787;2;2;2025-05-13 15:23:45;Düsseldorf
1069787;3;1;2025-05-13 15:23:45;Düsseldorf
1069787;4;1;2025-05-13 15:23:45;Düsseldorf
1069843;1;1;2025-05-14 09:21:21;Düsseldorf
1069882;1;15;2025-05-14 11:16:26;Düsseldorf
1069882;0;0;2025-05-14 11:16:26;Düsseldorf
1069882;0;0;2025-05-14 11:16:26;Düsseldorf
1069882;0;0;2025-05-14 11:16:26;Düsseldorf
1069937;1;2;2025-05-14 14:23:33;Düsseldorf
1069977;1;3;2025-05-15 08:17:11;Düsseldorf
1069977;1;2;2025-05-15 08:17:11;Düsseldorf
1069977;1;2;2025-05-15 08:17:11;Düsseldorf
1070034;1;1;2025-05-15 11:39:39;Düsseldorf
1070034;1;9;2025-05-15 11:39:39;Düsseldorf
1070131;0;50;2025-05-15 17:19:55;Düsseldorf
1070131;0;50;2025-05-15 17:19:55;Düsseldorf
1070131;0;0;2025-05-15 17:19:55;Düsseldorf
1070131;0;0;2025-05-15 17:19:55;Düsseldorf
1070168;1;2;2025-05-16 10:04:08;Düsseldorf
1070183;1;1;2025-05-16 10:26:40;Düsseldorf
1070190;1;3;2025-05-16 10:45:35;Düsseldorf
1070332;1;5;2025-05-19 10:41:50;Düsseldorf
1070332;1;20;2025-05-19 10:41:50;Düsseldorf
1070332;2;10;2025-05-19 10:41:50;Düsseldorf
1070337;1;5;2025-05-19 10:56:35;Düsseldorf
1070373;1;0;2025-05-19 12:56:36;Düsseldorf
1070373;1;1;2025-05-19 12:56:36;Düsseldorf
1070380;1;1;2025-05-19 13:25:44;Düsseldorf
1070474;1;0;2025-05-20 09:01:51;Düsseldorf
1070474;1;2;2025-05-20 09:01:51;Düsseldorf
1070474;1;1;2025-05-20 09:01:51;Düsseldorf
1070474;2;4;2025-05-20 09:01:51;Düsseldorf
1070474;3;2;2025-05-20 09:01:51;Düsseldorf
1070474;4;3;2025-05-20 09:01:51;Düsseldorf
1070474;1;10;2025-05-20 09:01:51;Düsseldorf
1070661;1;15;2025-05-21 11:30:15;Düsseldorf
1070718;1;1;2025-05-21 14:46:04;Düsseldorf
1070739;1;0;2025-05-21 16:33:37;Düsseldorf
1071094;1;1;2025-05-26 10:07:19;Düsseldorf
1071277;1;20;2025-05-27 12:59:07;Düsseldorf
1071306;1;1;2025-05-27 14:34:55;Düsseldorf
1071343;1;1;2025-05-28 08:45:27;Düsseldorf
