aid;company;keyword_list;language;seperator
3100-light blue-4XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-graphite-XXXL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-graphite-XXL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-4XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-graphite-XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-XXXL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-graphite-M;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-graphite-L;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-graphite-XS;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-white-5XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-dusty khaki-L;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-white-XXXL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-white-XXL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-white-XS;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-white-XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-white-S;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-XS;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-white-L;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-5XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-white-4XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-graphite-5XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-XXL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-XL;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-S;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-M;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
3100-navy-L;0;"T-Shirts;Shirts;unisex;tshirts;mann;männer";de;,
